Nprocs,Decomp,Scatter_ms,Sobel_ms,Gather_ms
4,1,117.1696,56.7502,105.1014
4,2,326.073,56.5751,415.156
4,3,179.5677,56.4161,189.9867
9,1,106.4423,25.3641,99.4921
9,2,601.7967,25.4097,1998.6066
9,3,230.698,25.6073,280.8491
16,1,114.1676,14.457,109.8825
16,2,903.3579,14.7887,7021.3166
16,3,325.255,14.118,686.717
25,1,111.3568,10.659,107.3532
25,2,1128.486,13.7181,15758.5692
25,3,384.869,9.5055,937.949
36,1,115.6182,8.718,110.9614
36,2,1450.1334,8.0714,34956.1625
36,3,476.9107,12.7194,1376.5048
49,1,115.0575,4.8687,111.0073
49,2,1784.035,8.1249,63163.6611
49,3,540.6003,4.9244,1730.0151
64,1,116.497,5.1671,114.3114
64,2,2124.2389,5.0728,117123.8943
64,3,574.6628,3.8692,2193.682
81,1,119.1021,5.1692,116.4419
81,2,2563.2482,9.9461,205692.6371
81,3,638.8597,3.3194,2885.1266
